,Fecha y hora,Velocidad de viento,Intensidad luz UV,Temperatura,Humedad relativa,Luz/oscuridad,Lluvia
0,Fri Feb 12 04:24:32 2021,0.0,0,12.1,99.9,Oscuro,Precipitación
1,Fri Feb 12 04:25:14 2021,0.0,0,12.0,99.9,Oscuro,Precipitación
2,Fri Feb 12 04:25:56 2021,0.0,0,11.9,99.9,Oscuro,Precipitación
3,Fri Feb 12 04:26:48 2021, 0.00,0, 12.10, 99.90,Oscuro,Precipitación
4,Fri Feb 12 04:27:30 2021, 0.00,0, 12.20, 99.90,Oscuro,Precipitación
5,Fri Feb 12 04:28:12 2021, 0.00,0, 12.20, 99.90,Oscuro,Precipitación
